,age,ord,rating,rcDist,rcTime,wgBudam,wgHr,winOdds,plcOdds,rcIdx,hrRcCnt,ord1Rate,ord2Rate,ord3Rate,trackState,deltaWgHr,sexNeutral,sexMale,sexFemale,chulNo_1,chulNo_2,chulNo_3,chulNo_4,chulNo_5,chulNo_6,chulNo_7,chulNo_8,chulNo_9,chulNo_10,chulNo_11,chulNo_12,chulNo_13,predict
0,3,1,0,1200,75.5,54.0,437,1.7,1.1,202305131,0,0.0,0.0,0.0,6,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,3,2,0,1200,76.0,54.0,455,13.6,3.1,202305131,1,0.0,0.0,0.0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3,0,1200,76.4,54.0,456,51.6,4.5,202305131,0,0.0,0.0,0.0,6,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,0,1200,76.6,56.0,482,7.7,2.1,202305131,1,0.0,0.0,0.0,6,-8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,3,5,0,1200,76.7,54.0,465,13.3,2.2,202305131,0,0.0,0.0,0.0,6,-5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,3,6,0,1200,77.2,54.0,440,6.8,2.1,202305131,3,0.0,0.0,0.33,6,-16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,3,7,0,1200,77.7,54.0,463,122.5,7.9,202305131,2,0.0,0.0,0.0,6,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,3,8,0,1200,78.1,54.0,441,46.7,8.0,202305131,2,0.0,0.0,0.0,6,-25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,3,9,0,1200,78.4,54.0,488,48.1,9.2,202305131,0,0.0,0.0,0.0,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,3,10,0,1200,80.3,52.0,427,167.5,31.9,202305131,0,0.0,0.0,0.0,6,-2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,3,11,0,1200,84.4,54.0,473,6.7,2.0,202305131,5,0.0,0.0,0.0,6,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,3,1,0,1200,75.1,54.0,468,10.6,3.2,202305132,5,0.0,0.0,0.0,6,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,3,2,0,1200,75.8,54.0,500,2.8,1.4,202305132,7,0.0,0.14,0.14,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,3,3,0,1200,76.2,56.0,496,2.6,1.2,202305132,5,0.0,0.0,0.4,6,-10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,3,4,0,1200,76.3,54.0,473,14.0,3.5,202305132,7,0.0,0.0,0.0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,4,5,0,1200,76.3,54.0,463,13.3,2.8,202305132,14,0.0,0.0,0.14,6,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,3,6,0,1200,76.4,56.0,456,5.7,1.6,202305132,5,0.0,0.2,0.0,6,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,3,7,0,1200,76.7,56.0,479,15.9,2.9,202305132,4,0.0,0.0,0.0,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,3,8,0,1200,77.0,50.0,440,48.7,7.1,202305132,6,0.0,0.0,0.0,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,9,0,1200,77.3,52.0,408,147.4,14.7,202305132,2,0.0,0.0,0.0,6,-7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,3,10,0,1200,78.6,54.0,492,67.7,8.3,202305132,5,0.0,0.0,0.0,6,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,3,1,0,1200,75.6,56.0,492,5.0,1.8,202305133,2,0.0,0.0,0.5,6,-14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,3,2,0,1200,75.8,54.0,439,12.6,2.5,202305133,4,0.0,0.0,0.0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,3,3,0,1200,76.0,54.0,503,38.2,6.2,202305133,2,0.0,0.0,0.0,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,3,4,0,1200,76.4,54.0,428,13.6,2.3,202305133,5,0.0,0.0,0.0,6,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,3,5,0,1200,76.6,56.0,459,2.2,1.1,202305133,1,0.0,0.0,0.0,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,3,6,0,1200,76.7,54.0,468,3.5,1.8,202305133,2,0.0,0.0,0.5,6,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,3,7,0,1200,76.8,56.0,520,20.0,2.8,202305133,0,0.0,0.0,0.0,6,-7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,3,8,0,1200,77.3,56.0,527,68.7,12.1,202305133,3,0.0,0.0,0.0,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,9,0,1200,78.8,54.0,501,80.3,15.1,202305133,0,0.0,0.0,0.0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,3,10,0,1200,79.1,54.0,454,62.4,10.9,202305133,0,0.0,0.0,0.0,6,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,3,11,0,1200,79.2,56.0,441,35.5,6.4,202305133,3,0.0,0.0,0.0,6,-16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,3,1,0,1300,82.1,56.0,467,11.7,2.6,202305134,4,0.0,0.0,0.0,6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,3,2,0,1300,82.3,56.0,462,1.6,1.1,202305134,4,0.0,0.25,0.25,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,3,3,0,1300,82.4,54.0,484,7.0,2.3,202305134,5,0.0,0.2,0.2,6,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,3,4,0,1300,83.1,54.0,486,25.7,3.1,202305134,3,0.0,0.0,0.0,6,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,3,5,0,1300,83.3,56.0,481,56.6,8.7,202305134,4,0.0,0.0,0.0,6,-2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,3,6,0,1300,84.0,56.0,519,5.5,1.6,202305134,4,0.0,0.0,0.0,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,3,7,0,1300,84.0,54.0,447,13.1,2.7,202305134,4,0.0,0.0,0.0,6,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,8,0,1300,84.2,56.0,467,40.6,6.3,202305134,4,0.0,0.0,0.0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,3,9,0,1300,84.7,54.0,478,52.6,7.8,202305134,3,0.0,0.0,0.0,6,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,3,10,0,1300,85.3,56.0,450,42.8,7.3,202305134,4,0.0,0.0,0.0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,3,11,0,1300,88.7,54.0,475,49.9,5.0,202305134,1,0.0,0.0,0.0,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,3,1,32,1400,87.6,53.5,512,2.0,1.3,202305135,3,0.33,0.33,0.0,6,-3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,4,2,35,1400,87.8,57.0,479,18.2,3.2,202305135,7,0.14,0.14,0.14,6,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,3,3,26,1400,88.5,52.0,428,84.9,12.1,202305135,6,0.0,0.33,0.0,6,-10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,4,4,31,1400,88.6,55.0,492,5.9,1.7,202305135,8,0.12,0.12,0.12,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
48,4,5,35,1400,88.9,57.0,495,10.0,2.4,202305135,10,0.1,0.1,0.1,6,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,5,6,28,1400,89.1,51.5,449,58.6,8.8,202305135,15,0.07,0.07,0.0,6,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,4,7,24,1400,89.2,52.0,459,37.4,6.8,202305135,15,0.0,0.07,0.2,6,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,3,8,29,1400,89.6,54.0,462,3.6,1.3,202305135,7,0.14,0.14,0.14,6,-4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
52,4,9,28,1400,89.8,52.0,482,47.9,6.8,202305135,10,0.0,0.2,0.2,6,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,3,10,29,1400,90.0,52.0,457,30.5,5.9,202305135,6,0.17,0.17,0.17,6,-5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5,11,30,1400,90.6,51.0,497,32.3,4.3,202305135,11,0.09,0.09,0.0,6,-2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,4,1,35,1200,73.7,55.0,461,5.1,1.4,202305136,4,0.25,0.5,0.0,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,3,2,35,1200,74.1,57.0,494,1.8,1.2,202305136,3,0.33,0.33,0.0,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,3,3,32,1200,74.7,55.5,495,14.1,2.8,202305136,5,0.2,0.2,0.2,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,4,27,1200,74.8,52.0,458,24.7,6.0,202305136,9,0.0,0.22,0.11,6,-3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,3,5,28,1200,75.0,53.5,469,22.9,4.7,202305136,3,0.33,0.0,0.0,6,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
60,3,6,30,1200,75.2,52.5,520,7.2,2.1,202305136,4,0.25,0.0,0.0,6,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
61,3,7,32,1200,75.8,55.5,450,8.7,2.2,202305136,8,0.0,0.38,0.12,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,4,8,29,1200,75.9,54.0,449,124.3,12.7,202305136,8,0.12,0.0,0.0,6,-7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,4,9,33,1200,76.1,54.0,426,14.2,2.8,202305136,10,0.1,0.1,0.0,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
64,4,10,21,1200,76.2,51.0,451,91.8,25.0,202305136,18,0.0,0.11,0.0,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,10,11,21,1200,76.4,52.0,451,108.0,18.5,202305136,10,0.0,0.0,0.0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,3,1,44,1700,110.8,56.0,495,2.0,1.2,202305137,8,0.25,0.12,0.25,6,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,3,2,40,1700,111.0,53.0,475,2.7,1.2,202305137,2,1.0,0.0,0.0,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68,5,3,46,1700,111.2,57.0,479,15.7,2.4,202305137,8,0.12,0.25,0.12,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,5,4,42,1700,111.3,54.0,468,11.9,3.3,202305137,6,0.17,0.5,0.17,6,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,6,5,37,1700,111.5,54.0,471,30.0,3.9,202305137,10,0.1,0.1,0.1,6,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,6,6,47,1700,111.5,55.0,459,8.4,1.6,202305137,11,0.09,0.0,0.09,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,4,7,36,1700,112.1,54.0,480,23.6,4.2,202305137,8,0.12,0.0,0.0,6,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,5,8,44,1700,112.2,54.0,480,22.0,4.1,202305137,12,0.17,0.0,0.08,6,-6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
74,6,1,55,1800,117.1,55.0,433,25.2,3.4,202305138,11,0.18,0.18,0.0,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,7,2,51,1800,117.5,54.0,460,18.6,3.9,202305138,9,0.11,0.11,0.11,6,-10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,6,3,56,1800,117.9,53.0,494,20.1,2.6,202305138,12,0.17,0.25,0.0,6,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
77,4,4,56,1800,117.9,55.0,486,1.9,1.1,202305138,9,0.22,0.22,0.22,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
78,6,5,51,1800,118.7,54.0,517,27.5,3.3,202305138,9,0.0,0.0,0.0,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,6,6,51,1800,118.8,54.0,522,19.9,3.5,202305138,7,0.0,0.0,0.29,6,-5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
80,7,7,65,1800,118.8,58.0,496,17.9,2.3,202305138,7,0.0,0.0,0.0,6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,4,8,55,1800,119.5,55.0,499,2.3,1.2,202305138,9,0.22,0.11,0.11,6,-2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
82,3,1,39,1200,73.9,52.0,520,3.6,1.6,202305139,7,0.29,0.0,0.14,6,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,3,2,39,1200,74.3,53.5,486,3.5,1.6,202305139,5,0.4,0.2,0.0,6,-2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
84,4,3,39,1200,74.5,53.5,518,3.2,1.2,202305139,3,0.0,0.67,0.33,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,5,4,36,1200,74.5,52.0,500,25.8,3.0,202305139,8,0.0,0.0,0.0,6,-3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,5,5,47,1200,74.5,55.5,460,8.5,2.3,202305139,11,0.09,0.0,0.0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,4,6,36,1200,75.3,51.0,529,19.7,4.7,202305139,6,0.0,0.17,0.17,6,-7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,4,7,43,1200,76.2,53.5,503,14.4,3.2,202305139,10,0.1,0.1,0.2,6,-14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,3,8,36,1200,76.2,52.0,459,27.7,6.8,202305139,3,0.0,0.0,0.0,6,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,3,9,39,1200,76.3,51.5,460,33.0,4.7,202305139,6,0.0,0.0,0.17,6,-3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,3,10,37,1200,76.4,52.0,463,46.0,13.8,202305139,2,0.0,0.0,0.0,6,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,6,1,40,1200,74.0,52.0,465,6.0,2.2,202305140,7,0.0,0.29,0.14,6,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,3,2,38,1200,74.3,51.0,461,6.1,2.6,202305140,8,0.12,0.25,0.12,6,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,3,3,41,1200,74.7,54.5,455,3.5,1.2,202305140,10,0.2,0.1,0.1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,3,4,40,1200,74.7,52.0,516,8.5,2.7,202305140,6,0.0,0.0,0.33,6,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,4,5,36,1200,74.9,52.0,496,6.5,2.1,202305140,5,0.2,0.0,0.2,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,4,6,48,1200,75.0,55.0,449,4.0,1.6,202305140,9,0.22,0.22,0.11,6,-9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,5,7,36,1200,75.1,52.0,488,50.3,9.4,202305140,5,0.0,0.0,0.0,6,-2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,5,8,36,1200,75.4,52.0,470,27.8,3.9,202305140,6,0.0,0.0,0.0,6,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,3,9,36,1200,75.8,52.0,420,23.4,5.4,202305140,7,0.0,0.0,0.0,6,-16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
101,3,10,38,1200,77.2,52.0,448,68.6,17.0,202305140,1,0.0,0.0,0.0,6,-5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
